id,first_author,year,system,modality,metric,value,n_classes,protocol,speaker_independent,label_target,primary_verified,url,note
S1,Koo,2026,Koo et al.,audiovisual,accuracy,89.49,6,EmoBox speaker-independent train/val split,yes,unspecified,yes,https://arxiv.org/abs/2603.11095,preprint not peer reviewed; EmoBox partition differs from the 5-fold SI CV used by S3/S5
S2,Lei,2023,Lei & Cao preference learning,audiovisual,accuracy,85.06,6,not stated in abstract,unknown,both intended and perceived,abstract only,https://doi.org/10.1109/TAFFC.2023.3234777,trains on perceived-label information; the one paper built around the intended/perceived split
S3,Sun,2024,HiCMAE-B,audiovisual,WAR,84.89,6,5-fold CV subject-independent,yes,unspecified,yes,https://arxiv.org/abs/2401.05698,UAR 84.91
S4,Mocanu,2023,Mocanu et al.,audiovisual,accuracy,84.57,6,not verified,unknown,unspecified,no,https://doi.org/10.1016/j.imavis.2023.104676,read from Koo et al. comparison table; paywalled
S5,Shi,2024,DE-III,audiovisual,F1-micro,83.70,6,5 folds non-overlapping actor identities,yes,unspecified,yes,https://arxiv.org/abs/2405.16701,F1-macro 79.5; F1-micro equals accuracy for single-label multiclass
S6,Goncalves,2025,VAVL,audiovisual,F1-micro,82.60,6,70/15/15 speaker-independent x5 runs,yes,consensus (audiovisual perceived),yes,https://arxiv.org/abs/2305.07216,"0.826 +/- .015; F1-macro 0.779 +/- .025. The ONLY paper we could verify scores against the crowd majority label."
S7,Sadok,2023,VQ-MAE-AV,audiovisual,accuracy,80.40,6,10-fold CV speaker-disjoint,yes,unspecified,yes,https://arxiv.org/abs/2305.03568,F1 80.00
S8,Ghaleb,2019,AV-Gating,audiovisual,WAR,74.00,6,not verified,unknown,unspecified,no,https://doi.org/10.1109/ACII.2019.8925444,reported identically by four independent secondary tables; AV-LSTM 72.90
S9,Dhanith,2024,AVT-CA,audiovisual,accuracy,94.13,6,80/20 random split no actor constraint,no,unspecified,yes,https://arxiv.org/abs/2407.18552,"LEAKY: 91 actors x 12 fixed sentences with a random split puts the same actor and sentence on both sides. Not comparable."
S10,Sun,2024,HiCMAE-B (4-class subset),audiovisual,WAR,94.13,4,last fold only subject-independent,yes,unspecified,yes,https://arxiv.org/abs/2401.05698,"4 classes on 4896 clips; not comparable to 6-class rows. Same digits as S9 by coincidence."
S11,Sun,2023,MAE-DFER,visual,UAR,77.33,6,5-fold CV subject-independent,yes,unspecified,yes,https://arxiv.org/abs/2307.02227,WAR 77.38
S12,Sun,2024,SVFAP-B,visual,UAR,77.31,6,5-fold subject-independent CV,yes,unspecified,yes,https://arxiv.org/abs/2401.00416,WAR 77.37
S13,Sun,2024,HiCMAE-B,visual,UAR,77.25,6,5-fold CV subject-independent,yes,unspecified,yes,https://arxiv.org/abs/2401.05698,WAR 77.21
S14,Ma,2024,EmoBox Whisper large v3,audio,UA,76.75,6,4-fold leave-speakers-out CV,yes,unspecified,yes,https://arxiv.org/abs/2406.07162,WA 76.48 F1 76.60
